air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,eastward_wind,northward_wind,wind_speed,cloud_area_fraction,hours_since_forecast_issue,forecast_issue_datetime,ensemble,forecast_datetime_UTC
296.9732971191406,99075.453125,78.4768295288086,377,84,2.7777778450399637e-4,-2.041879892349243,3.095536947250366,3.7083182334899902,61,0,2022-05-25T00:00:00Z,00,2022-05-25 00:00:00
296.6820983886719,99061.9453125,82.29595184326172,377,0,2.7777778450399637e-4,-2.1841530799865723,2.639666795730591,3.1594114303588867,61,1,2022-05-25T00:00:00Z,00,2022-05-25 01:00:00
296.1326599121094,99064.796875,85.90940856933594,377,0,2.7777778450399637e-4,-2.1597824096679688,2.3425328731536865,2.7656776905059814,61,2,2022-05-25T00:00:00Z,00,2022-05-25 02:00:00
295.3714599609375,99082.0546875,89.2721939086914,377,0,2.7777778450399637e-4,-1.988399624824524,2.182079553604126,2.5115749835968018,61,3,2022-05-25T00:00:00Z,00,2022-05-25 03:00:00
294.445068359375,99111.7890625,92.339324951171875,377,0,2.7777778450399637e-4,-1.68963623046875,2.1362509727478027,2.381561517715454,61,4,2022-05-25T00:00:00Z,00,2022-05-25 04:00:00
293.3999938964844,99152.0546875,95.06581115722656,377,0,2.7777778450399637e-4,-1.2831237316131592,2.1829910278320313,2.360095262527466,61,5,2022-05-25T00:00:00Z,00,2022-05-25 05:00:00
292.28271484375,99200.9140625,97.40666961669922,379,0,7.958333590067923e-4,-0.7884936332702637,2.300244092941284,2.4316341876983643,100,6,2022-05-25T00:00:00Z,00,2022-05-25 06:00:00
291.1491394042969,99256.375,99.29276275634766,379,0,7.958333590067923e-4,-0.22719992697238922,2.4626502990722656,2.578984260559082,100,7,2022-05-25T00:00:00Z,00,2022-05-25 07:00:00
290.0926818847656,99316.2578125,100.55839538574219,379,0,7.958333590067923e-4,0.37201327085494995,2.6316330432891846,2.7783427238464355,100,8,2022-05-25T00:00:00Z,00,2022-05-25 08:00:00
289.216064453125,99378.3125,101.01372528076172,379,0,7.958333590067923e-4,0.9785793423652649,2.7653114795684814,3.0042545795440674,100,9,2022-05-25T00:00:00Z,00,2022-05-25 09:00:00
288.6221008300781,99440.296875,100.46890258789063,379,0,7.958333590067923e-4,1.5619316101074219,2.821805238723755,3.231264591217041,100,10,2022-05-25T00:00:00Z,00,2022-05-25 10:00:00
288.41351318359375,99499.9765625,98.73409271240234,379,0,7.958333590067923e-4,2.091503381729126,2.7592334747314453,3.433917760848999,100,11,2022-05-25T00:00:00Z,00,2022-05-25 11:00:00
288.6930847167969,99555.1171875,95.61945343017578,364,151.23275756835938,0,2.5367283821105957,2.535715341567993,3.586759328842163,91,12,2022-05-25T00:00:00Z,00,2022-05-25 12:00:00
289.5167236328125,99603.71875,91.05584716796875,364,292.9042663574219,0,2.876152276992798,2.1258909702301025,3.6725950241088867,91,13,2022-05-25T00:00:00Z,00,2022-05-25 13:00:00
290.7527770996094,99644.796875,85.45699310302734,364,423.5953063964844,0,3.1247713565826416,1.5704835653305054,3.7072741985321045,91,14,2022-05-25T00:00:00Z,00,2022-05-25 14:00:00
292.2227783203125,99677.609375,79.35731506347656,364,534.40545654296875,0,3.306694746017456,0.9267365336418152,3.71490740776062,91,15,2022-05-25T00:00:00Z,00,2022-05-25 15:00:00
293.7482604980469,99701.421875,73.2912368774414,364,617.7896728515625,0,3.446031093597412,0.2518937289714813,3.719604730606079,91,16,2022-05-25T00:00:00Z,00,2022-05-25 16:00:00
295.1507263183594,99715.5,67.793182373046875,364,668.072509765625,0,3.566889524459839,-0.3968011736869812,3.745476722717285,91,17,2022-05-25T00:00:00Z,00,2022-05-25 17:00:00
296.2516784667969,99719.0859375,63.39759063720703,370,779.169677734375,0,3.6933789253234863,-0.9621044993400574,3.816633701324463,53,18,2022-05-25T00:00:00Z,00,2022-05-25 18:00:00
296.9120178222656,99712.3046875,60.50633239746094,370,752.09759521484375,0,3.841155767440796,-1.3964564800262451,3.9470584392547607,53,19,2022-05-25T00:00:00Z,00,2022-05-25 19:00:00
297.1501770019531,99698.6484375,58.99111557006836,370,684.07952880859375,0,3.9920666217803955,-1.6910334825515747,4.110223293304443,53,20,2022-05-25T00:00:00Z,00,2022-05-25 20:00:00
297.0240478515625,99682.46875,58.591102600097656,370,579.75738525390625,0,4.119506359100342,-1.8466956615447998,4.269473075866699,53,21,2022-05-25T00:00:00Z,00,2022-05-25 21:00:00
296.5914001464844,99668.109375,59.04546356201172,370,446.246337890625,0,4.196868419647217,-1.8643033504486084,4.388153076171875,53,22,2022-05-25T00:00:00Z,00,2022-05-25 22:00:00
295.91009521484375,99659.9140625,60.09335708618164,370,292.6495056152344,0,4.197547912597656,-1.7447168827056885,4.42960786819458,53,23,2022-05-25T00:00:00Z,00,2022-05-25 23:00:00
295.0379638671875,99662.2421875,61.47394943237305,323,108,0,4.0949387550354,-1.488796353340149,4.357182502746582,31,24,2022-05-25T00:00:00Z,00,2022-05-26 00:00:00
294.0289611816406,99678.1171875,62.96644592285156,323,0,0,3.873056173324585,-1.1067792177200317,4.147162437438965,31,25,2022-05-25T00:00:00Z,00,2022-05-26 01:00:00
292.9214782714844,99705.3125,64.510223388671875,323,0,0,3.558398723602295,-0.6464108824729919,3.8275985717773438,31,26,2022-05-25T00:00:00Z,00,2022-05-26 02:00:00
291.75,99740.296875,66.084716796875,323,0,0,3.1880855560302734,-0.16481374204158783,3.439481258392334,31,27,2022-05-25T00:00:00Z,00,2022-05-26 03:00:00
290.54901123046875,99779.53125,67.6693344116211,323,0,0,2.7992358207702637,0.2808896601200104,3.0238020420074463,31,28,2022-05-25T00:00:00Z,00,2022-05-26 04:00:00
289.3530578613281,99819.46875,69.24351501464844,323,0,0,2.428969144821167,0.6335769295692444,2.621551752090454,31,29,2022-05-25T00:00:00Z,00,2022-05-26 05:00:00
288.1966247558594,99856.578125,70.78667449951172,309,0,0,2.1144042015075684,0.8361254930496216,2.273721933364868,39,30,2022-05-25T00:00:00Z,00,2022-05-26 06:00:00
287.1283264160156,99888.0625,72.235107421875,309,0,0,1.8902254104614258,0.852730393409729,2.0182478427886963,39,31,2022-05-25T00:00:00Z,00,2022-05-26 07:00:00
286.2534484863281,99914.125,73.352569580078125,309,0,0,1.781375765800476,0.7328562140464783,1.880842924118042,39,32,2022-05-25T00:00:00Z,00,2022-05-26 08:00:00
285.6913146972656,99935.6953125,73.85968780517578,309,0,0,1.8103631734848022,0.5472849607467651,1.8841651678085327,39,33,2022-05-25T00:00:00Z,00,2022-05-26 09:00:00
285.5613098144531,99953.734375,73.47709655761719,309,0,0,1.9996954202651978,0.36679863929748535,2.050872325897217,39,34,2022-05-25T00:00:00Z,00,2022-05-26 10:00:00
285.98284912109375,99969.171875,71.92540740966797,309,12,0,2.371880531311035,0.26217931509017944,2.4036223888397217,39,35,2022-05-25T00:00:00Z,00,2022-05-26 11:00:00
287.0752868652344,99982.9609375,68.925262451171875,330,209.13455200195313,0,2.9494261741638184,0.3042089641094208,2.9650731086730957,50,36,2022-05-25T00:00:00Z,00,2022-05-26 12:00:00
288.8964538574219,99995.3828125,64.3541488647461,330,403.8065185546875,0,3.7312536239624023,0.5353768467903137,3.7350423336029053,50,37,2022-05-25T00:00:00Z,00,2022-05-26 13:00:00
291.2580261230469,100004.1171875,58.717044830322266,330,583.4144287109375,0,4.621936321258545,0.8850009441375732,4.6219868659973145,50,38,2022-05-25T00:00:00Z,00,2022-05-26 14:00:00
293.91015625,100006.1640625,52.67578887939453,330,735.7264404296875,0,5.502460956573486,1.2541065216064453,5.511523246765137,50,39,2022-05-25T00:00:00Z,00,2022-05-26 15:00:00
296.60296630859375,99998.5625,46.89223098754883,330,850.37164306640625,0,6.253814220428467,1.5437188148498535,6.289268970489502,50,40,2022-05-25T00:00:00Z,00,2022-05-26 16:00:00
299.08660888671875,99978.3046875,42.02821350097656,330,919.54638671875,0,6.756982803344727,1.6548629999160767,6.840839862823486,50,41,2022-05-25T00:00:00Z,00,2022-05-26 17:00:00
301.1111755371094,99942.4296875,38.745582580566406,365,960.913330078125,0,6.892953872680664,1.488564372062683,7.051853656768799,17,42,2022-05-25T00:00:00Z,00,2022-05-26 18:00:00
302.4799499511719,99890.0078125,37.522483825683594,365,927.67889404296875,0,6.58065938949585,0.9839199781417847,6.846365451812744,17,43,2022-05-25T00:00:00Z,00,2022-05-26 19:00:00
303.20849609375,99828.3828125,38.10227584838867,365,844.03125,0,5.890815734863281,0.2323141098022461,6.302185535430908,17,44,2022-05-25T00:00:00Z,00,2022-05-26 20:00:00
303.3655090332031,99766.9765625,40.04462432861328,365,715.67877197265625,0,4.932083606719971,-0.6367971301078796,5.535563945770264,17,45,2022-05-25T00:00:00Z,00,2022-05-26 21:00:00
